2026-06-05 11:04:55.946 | 127.0.0.1:62599 | GET http://detectportal.firefox.com/success.txt?ipv6 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:55.996 | 127.0.0.1:62600 | GET http://192.168.1.5:5000/ | Status:200 | Cache:MISS | Size:7714B | Time:47ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.020 | 127.0.0.1:62602 | GET http://192.168.1.5:5000/static/css/app.css | Status:200 | Cache:HIT | Size:27213B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.023 | 127.0.0.1:62603 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.025 | 127.0.0.1:62604 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:HIT | Size:2335B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.037 | 127.0.0.1:62605 | GET http://192.168.1.5:5000/static/uploads/houses/default-house.svg | Status:200 | Cache:HIT | Size:1089B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.040 | 127.0.0.1:62606 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-06.jpg | Status:200 | Cache:HIT | Size:180371B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.043 | 127.0.0.1:62607 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-04.jpg | Status:200 | Cache:HIT | Size:108872B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.046 | 127.0.0.1:62608 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-03.jpg | Status:200 | Cache:HIT | Size:128527B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.049 | 127.0.0.1:62609 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-05.jpg | Status:200 | Cache:HIT | Size:143715B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:56.054 | 127.0.0.1:62610 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-02.jpg | Status:200 | Cache:HIT | Size:269307B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
